bench,batch,theoretical occupancy(%),AVG Duration(ms),SM_util(%),mem_util(%)
alexnet,1,85.48387097,0.224222462,28.72598455,32.02887282
alexnet,2,87.06896552,0.226939695,34.4163047,36.35747359
alexnet,4,81.25,0.230486156,45.8667979,42.92772907
alexnet,8,81.25,0.216667105,52.59172714,44.97681831
alexnet,16,78.125,0.267005109,53.28585025,48.3862273
alexnet,32,81.25,0.436804506,58.80150773,43.8706093
squeezenet,1,91.58415842,0.019042583,20.84139141,30.86913365
squeezenet,2,90.57017544,0.028962253,27.35151867,37.6116528
squeezenet,4,88.53211009,0.045295758,35.5590186,47.79048398
squeezenet,8,88.16964286,0.085454394,41.22516261,54.09501221
squeezenet,16,82.44274809,0.170425991,44.47483675,57.3419658
squeezenet,32,79.28321678,0.312019328,46.56760013,60.94002012
dcgan,1,93.20652174,0.030759646,14.85995144,19.49399576
dcgan,2,92.39130435,0.037220596,23.32579542,22.34276989
dcgan,4,92.39130435,0.050188648,35.45208414,33.24712371
dcgan,8,92.39130435,0.089652152,42.25299632,39.79508766
dcgan,16,92.39130435,0.176113124,44.94543566,43.90497948
dcgan,32,91.40625,0.803880687,42.22841319,49.02727396
vgg16,1,79.92424242,0.342288068,49.87900747,49.05735439
vgg16,2,79.92424242,0.410693218,53.70286861,49.45631244
vgg16,4,82.1969697,0.705751406,58.28364717,43.65200005
vgg16,8,83.90151515,1.195711362,63.82413969,46.13914609
vgg16,16,65.41666667,1.864432872,53.55680667,57.64507875
vgg16,32,70.07575758,1.725634637,65.03171632,51.31717033
resnet18,1,89.6039604,0.05269652,23.08071015,26.13068519
resnet18,2,89.92718447,0.070930188,27.93504128,28.86847977
resnet18,4,86.12385321,0.092086995,44.97579641,42.17298892
resnet18,8,86.69724771,0.186303576,44.6577051,38.15573372
resnet18,16,83.9673913,0.312433964,45.03868542,42.25696684
resnet18,32,83.76068376,0.357286295,54.20940479,49.80937999
